chr	start	end	CpG	0168_51-N	0168_51-X	0168_52-N	0168_52-X	0168_53-N	0168_53-X	0168_54-N	0168_54-X
1	3531651	3531736	12	53	12	NA	NA	NA	NA	NA	NA
1	3670670	3670751	8	24	0	NA	NA	NA	NA	NA	NA
1	3671095	3671181	18	51	0	34	0	51	0	34	0
1	3671451	3671588	23	56	0	63	0	66	0	34	0
1	4492483	4492563	11	21	0	32	0	41	0	NA	NA
1	4493069	4493395	16	25	2	35	0	21	0	35	0
1	4493616	4493730	12	NA	NA	60	0	28	0	NA	NA
1	4497028	4497224	13	39	0	37	0	NA	NA	25	0
1	4571832	4572031	20	81	0	22	0	26	0	23	0
1	4807871	4808179	33	75	0	100	0	57	0	51	0
1	4857992	4858166	16	48	0	40	0	29	1	32	0
1	5018775	5018958	8	NA	NA	NA	NA	NA	NA	25	0
1	5022851	5022969	10	NA	NA	34	3	24	0	NA	NA
1	5083139	5083303	16	NA	NA	69	1	NA	NA	33	0
1	5189440	5189495	5	NA	NA	20	20	NA	NA	NA	NA
1	5982415	5982660	8	20	20	20	20	NA	NA	NA	NA
1	6214598	6214919	32	61	0	55	2	47	0	93	0
1	6214934	6215268	26	66	0	55	0	23	0	87	1
1	6359356	6359441	8	32	0	NA	NA	28	0	NA	NA
1	6441324	6441448	20	57	0	60	0	31	0	21	0
1	7088594	7088686	8	NA	NA	46	0	NA	NA	NA	NA
1	7287915	7287995	6	NA	NA	NA	NA	NA	NA	36	33
1	7307207	7307328	5	NA	NA	NA	NA	NA	NA	21	20
1	7608514	7608557	7	NA	NA	28	24	NA	NA	NA	NA
1	7609559	7609635	7	NA	NA	NA	NA	24	22	NA	NA
1	7742113	7742174	7	21	16	NA	NA	NA	NA	21	15
1	8688411	8688504	8	24	23	NA	NA	NA	NA	NA	NA
1	9240624	9240696	4	NA	NA	NA	NA	20	19	NA	NA
1	9299253	9299436	8	NA	NA	21	0	22	0	20	0
1	9545295	9545377	6	NA	NA	32	1	NA	NA	NA	NA
1	9545707	9545893	12	30	0	36	1	NA	NA	NA	NA
1	9546064	9546340	12	26	0	25	1	30	0	NA	NA
1	9700173	9700246	12	NA	NA	36	0	NA	NA	22	0
1	9700565	9700683	15	63	1	45	0	39	0	25	0
1	9747663	9748061	23	37	0	50	0	23	0	40	0
1	9797922	9798217	35	44	0	66	0	69	0	72	0
1	9798348	9798436	16	48	0	55	0	NA	NA	25	0
1	9908606	9908674	11	NA	NA	NA	NA	33	0	33	10
1	9943945	9944172	23	51	0	71	0	44	1	105	0
1	9967395	9967622	32	80	3	138	0	32	0	28	0
1	9967927	9968047	12	37	0	24	0	NA	NA	23	0
1	10037878	10038193	26	50	0	101	0	55	0	NA	NA
1	10038356	10038471	9	23	0	32	0	NA	NA	22	0
1	10040003	10040113	12	NA	NA	NA	NA	41	0	NA	NA
1	10232299	10232798	42	122	0	99	0	117	0	106	2
1	10294849	10294906	7	NA	NA	21	0	21	0	NA	NA
1	10970706	10970765	5	29	22	NA	NA	NA	NA	23	12
1	10993684	10993785	13	58	0	23	0	22	0	32	0
1	10993919	10993967	6	NA	NA	NA	NA	20	0	NA	NA
1	11329483	11329603	5	NA	NA	NA	NA	31	0	21	0
1	11414190	11414332	11	NA	NA	28	0	NA	NA	NA	NA
1	12344902	12344981	5	NA	NA	NA	NA	NA	NA	25	24
1	12692929	12693151	11	40	0	NA	NA	NA	NA	NA	NA
1	12693197	12693464	10	20	0	23	0	NA	NA	44	0
1	12836024	12836139	6	NA	NA	NA	NA	NA	NA	28	0
1	12990672	12990785	10	34	0	NA	NA	NA	NA	NA	NA
1	12992477	12992552	8	33	0	NA	NA	39	0	NA	NA
1	13029371	13029453	4	22	8	NA	NA	NA	NA	NA	NA
1	13126817	13126903	6	NA	NA	NA	NA	24	2	NA	NA
1	13264893	13264994	6	NA	NA	NA	NA	NA	NA	30	30
1	13372130	13372303	8	NA	NA	NA	NA	NA	NA	28	0
1	13372756	13372808	6	25	0	NA	NA	NA	NA	22	1
1	13373032	13373307	31	47	0	36	0	62	0	81	0
1	13373323	13373595	21	37	0	26	1	36	0	66	0
1	13373744	13373872	16	NA	NA	95	0	36	0	33	0
1	13374246	13374273	6	NA	NA	24	0	NA	NA	NA	NA
1	13374661	13374780	9	NA	NA	21	1	34	0	NA	NA
1	13589221	13589416	24	40	0	55	0	50	0	72	0
1	13619775	13619853	7	21	19	NA	NA	NA	NA	NA	NA
1	13660382	13660589	16	20	0	86	0	34	0	54	1
1	14309670	14309806	9	47	1	32	0	NA	NA	NA	NA
1	14506969	14506996	4	NA	NA	NA	NA	22	0	NA	NA
1	14755595	14755739	14	50	1	29	1	NA	NA	44	0
1	15286477	15286742	19	40	0	40	1	55	0	NA	NA
1	15286757	15287023	19	41	0	83	0	27	0	27	0
1	15312623	15312718	8	25	3	NA	NA	NA	NA	NA	NA
1	15806021	15806056	7	NA	NA	NA	NA	NA	NA	31	0
1	15892421	15892558	10	27	1	52	0	NA	NA	27	4
1	15892945	15892971	4	20	1	NA	NA	NA	NA	NA	NA
1	15920492	15920573	6	30	30	NA	NA	NA	NA	NA	NA
1	16092965	16093159	17	29	2	NA	NA	NA	NA	31	0
1	16093284	16093314	6	23	0	NA	NA	NA	NA	NA	NA
1	16104018	16104152	9	NA	NA	26	0	NA	NA	23	1
1	16104928	16105381	43	124	0	101	0	107	0	90	0
1	16105383	16105837	38	105	2	93	0	90	1	59	0
1	16106041	16106383	26	48	1	50	0	57	0	35	1
1	16169801	16169882	6	25	25	NA	NA	NA	NA	NA	NA
1	16215274	16215334	5	NA	NA	NA	NA	23	4	NA	NA
1	16518953	16519191	28	34	0	98	0	23	0	NA	NA
1	16618790	16619139	37	63	0	47	0	53	0	124	0
1	16619341	16619408	11	70	1	NA	NA	20	1	NA	NA
1	16656924	16657141	14	33	0	27	0	27	0	33	0
1	16665406	16665585	19	32	0	55	0	20	0	46	0
1	16688630	16688707	5	NA	NA	20	0	NA	NA	NA	NA
1	17097619	17098014	39	87	0	54	0	78	1	103	0
1	18058341	18058469	17	50	0	NA	NA	20	0	NA	NA
1	18658897	18659131	11	34	32	35	31	NA	NA	20	20
1	18872453	18872545	6	24	22	NA	NA	NA	NA	NA	NA
1	19104483	19104572	5	NA	NA	20	0	NA	NA	NA	NA
1	19111177	19111268	7	NA	NA	NA	NA	21	0	NA	NA
1	19209898	19210030	12	40	0	41	0	34	0	NA	NA
1	19234090	19234190	9	NA	NA	20	1	NA	NA	31	4
1	19266173	19266255	11	NA	NA	NA	NA	33	0	NA	NA
1	20477990	20478232	12	37	0	NA	NA	NA	NA	29	0
1	20819966	20820046	10	40	1	31	0	44	7	NA	NA
1	20890527	20890810	24	46	0	71	0	56	0	23	0
1	20890897	20891173	14	43	0	20	0	31	0	27	0
1	21080396	21080473	6	NA	NA	NA	NA	24	1	NA	NA
1	21166488	21166528	6	24	0	NA	NA	24	0	NA	NA
1	21961168	21961539	47	71	0	149	0	109	1	94	0
1	21961699	21962053	17	NA	NA	52	0	30	0	21	1
1	22398556	22398681	8	NA	NA	NA	NA	NA	NA	24	23
1	22533178	22533567	39	119	1	110	0	114	0	121	0
1	22533577	22533958	50	141	1	108	0	111	0	47	0
1	22805832	22806289	36	68	0	115	0	66	0	80	4
1	23256031	23256397	33	126	0	63	0	73	0	56	0
1	23256617	23256652	7	NA	NA	21	1	NA	NA	NA	NA
1	23378593	23378730	6	21	19	NA	NA	NA	NA	NA	NA
1	23382808	23383169	39	89	0	41	0	87	0	24	0
1	23761858	23762201	28	61	0	63	0	68	0	42	1
1	23762237	23762582	21	52	0	37	0	38	0	25	0
1	23762724	23763171	41	71	0	61	0	90	0	110	0
1	23921901	23922007	15	26	0	74	8	28	0	22	0
1	23922310	23922553	27	44	0	45	0	43	4	61	0
1	24005529	24005603	7	20	0	NA	NA	NA	NA	25	0
1	24099746	24100152	34	100	0	96	0	73	0	111	0
1	24100489	24100545	9	NA	NA	35	1	NA	NA	35	0
1	24419253	24419354	9	NA	NA	NA	NA	22	21	NA	NA
1	24586562	24586886	32	72	1	85	0	54	0	65	0
1	24837477	24837570	6	NA	NA	NA	NA	NA	NA	22	22
1	25829417	25829582	7	24	0	NA	NA	NA	NA	NA	NA
1	25830007	25830275	36	119	1	149	2	99	1	81	0
1	25909964	25910012	7	22	21	22	22	NA	NA	NA	NA
1	28399023	28399092	5	112	107	87	80	101	97	141	128
